id,level,skill_name,consumption,temperature,effect
1,1,たたく,5,1,1マスを通常の威力で叩く
2,2,上下打ち,8,1.5,上下2マスを、通常の1.2倍の威力で叩く
3,3,てかげん打ち,10,0.5,1マスを、通常の0.5倍の威力で叩く
4,5,2倍打ち,8,2,1マスを通常の2倍の威力で叩く
5,7,火力上げ,10,0,温度を300度上げる
6,10,会心0.1%アップ,,0,常に会心確率アップ
7,11,4連打ち,12,1.2,2×2マスを通常の1.2倍の威力で叩く
8,13,みだれ打ち,7,0.8,どれかのマスをランダムに4回、通常の0.8倍の威力で叩く
9,16,3倍打ち,11,3,1マスを通常の3倍の威力で叩く
10,20,会心0.2%アップ,,0,常に会心確率アップ
11,23,ねらい打ち,16,1.2,会心が出やすい
12,27,超4連打ち,18,2,2×2マスを通常の2倍の威力で叩く
13,30,会心0.3％アップ,,0,常に会心確率アップ
14,33,冷やし込み,12,0,温度を300度下げる
15,38,ななめ打ち,7,1.2,右上と左下の2マスを1.2倍の力で叩く
16,45,必殺率小アップ,,0,常に必殺確率アップ
17,47,熱風おろし,6,2.5,2.5倍の威力で1マスを打ち、打った後に温度が50度ではなく150度下がる
18,52,上下ねらい打ち,25,1.2,上下2マスを通常の1.2倍の威力で叩き、会心が出やすい
19,70,まれに集中力回復,,0,集中力10以下になった時、稀に集中力回復
20,75,弱ねらい打ち,20,0.5,通常の0.5倍のねらい打ち
21,80,左右打ち,,1.2,チカラ強く左右2マスをたたく
